query_id,answer
1,4396 4308 4361 1899 2943 4394 1901 4234 4387 3088
2,4009 1923 3209 4234 4408 3149 2646 4407 4400 4219
3,1909 4234 4308 4396 4387 4367 4400 2065 4362 4361
4,4400 4234 4361 4308 2865 2646 4219 4331 1966 2866
5,4308 4214 4294 4258 4367 1901 4388 4321 4320 3088
6,4309 4208 2214 3750 4520 2197 2032 3016 2923 2928
7,2521 4361 4400 2944 2802 4387 3149 3168 4408 1958
8,1951 4532 4320 4286 4308 4234 4009 4331 1923 3088
9,4445 4209 4290 4451 2698 3995 4227 3314 2405 4214
10,4407 4403 4308 4400 4219 4338 4332 4502 4384 4329
11,2865 1966 4400 4219 4308 2646 2866 2521 4403 4407
12,4408 2865 2964 4361 4400 4308 4338 4257 2943 2521
13,4219 2865 2646 4440 4407 4361 4384 2866 2521 4400
14,2962 4397 4496 3751 2215 3746 2324 3752 4319 3786
15,1966 3470 4384 4406 4361 2037 3078 4313 2943 4219
16,2943 4219 4331 4440 4361 4257 2521 4389 2646 1958
17,4532 1901 1899 4308 4362 3088 4329 1951 1918 1923
18,4219 4308 4234 4408 4214 1899 2646 4396 4331 4354
19,4320 4308 4214 4354 4321 4111 2918 4362 4234 2232
20,2865 4400 4308 4387 4234 2866 4408 2696 1958 4219
21,4214 2698 4308 2665 4424 4395 4361 4445 4319 4451
22,2208 4348 4362 4420 2154 4199 4445 3888 4357 4301
23,4286 4308 4431 1899 4367 2698 1901 1909 4328 4214
24,4389 4440 4219 4361 2646 2521 2943 4331 4308 4257
25,4214 2698 4451 2665 4445 4366 4227 3478 3843 4290
26,4389 4394 4440 4219 3564 4313 4361 2962 3565 4397
27,4440 4219 4387 1966 2646 2865 2866 2696 4384 1958
28,4308 4234 4400 4361 4407 2408 1958 4219 3006 4408
29,4219 2865 4361 4406 1966 3844 2866 4308 2646 4234
30,4320 4308 3088 1951 4532 2962 4219 4214 4321 4319
31,4400 4308 4408 2962 1909 1960 4331 4219 4387 2831
32,2962 4397 4377 1784 3660 4295 4259 4300 4277 4294
33,4440 4219 2865 2866 2646 4389 1966 2944 2521 4407
34,4308 2865 4361 4219 2646 4384 4400 4408 3844 4234
35,1907 1909 4396 4328 4234 4286 3436 3467 4308 4408
36,1958 4387 4504 4234 4257 2646 1966 4308 4400 4219
37,4408 4387 4361 4400 4234 4403 4358 4308 3689 1958
38,4219 1966 4440 2646 4400 2696 3470 4384 4408 3078
39,4050 1951 4328 4362 4045 4286 4532 3467 4214 4361
